instance_name, exec_time, random_seed, constraints_type, hot_start, solution_value,size
"2.atsp",43.870959127,"44095","mtz","annealing",6905.0,53
"3.atsp",13.434346845,"44095","mtz","annealing",1286.0,34
"4.atsp",16.680021202,"44095","mtz","annealing",1530.0,39
"5.atsp",27.118604356,"44095","mtz","annealing",1776.0,48
"6.atsp",26.496133947,"44095","mtz","annealing",1608.0,56
"7.atsp",38.049745251,"44095","mtz","annealing",1839.0,65
"1.atsp",7.379244053,"581440","mtz","random",39.0,17
"10.atsp",36.876314616,"581440","mtz","random",14422.0,48
"2.atsp",31.284699604,"581440","mtz","random",6905.0,53
"3.atsp",7.332290188,"581440","mtz","random",1286.0,34
"4.atsp",8.132103028,"581440","mtz","random",1530.0,39
"5.atsp",12.32979952,"581440","mtz","random",1776.0,48
"6.atsp",12.421205506,"581440","mtz","random",1608.0,56
"7.atsp",18.562013769,"581440","mtz","random",1839.0,65
"1.atsp",9.986901328,"115807","mtz","annealing",39.0,17
"10.atsp",41.762371595,"115807","mtz","annealing",14422.0,48
"2.atsp",41.742412613,"115807","mtz","annealing",6905.0,53
"3.atsp",11.226274555,"115807","mtz","annealing",1286.0,34
"4.atsp",11.95724347,"115807","mtz","annealing",1530.0,39
"5.atsp",22.305323613,"115807","mtz","annealing",1776.0,48
"6.atsp",20.471583373,"115807","mtz","annealing",1608.0,56
"7.atsp",42.650505703,"115807","mtz","annealing",1839.0,65
"1.atsp",7.674609097,"160416","mtz","random",39.0,17
"10.atsp",35.555873458,"160416","mtz","random",14422.0,48
"2.atsp",31.092333987,"160416","mtz","random",6905.0,53
"3.atsp",9.163317811,"160416","mtz","random",1286.0,34
"4.atsp",8.241392099,"160416","mtz","random",1530.0,39
"5.atsp",12.068249464,"160416","mtz","random",1776.0,48
"6.atsp",12.922137814,"160416","mtz","random",1608.0,56
"7.atsp",20.984246968,"160416","mtz","random",1839.0,65
"1.atsp",9.702609109,"501189","mtz","annealing",39.0,17
"10.atsp",43.977972503,"501189","mtz","annealing",14422.0,48
"2.atsp",40.404749295,"501189","mtz","annealing",6905.0,53
"3.atsp",12.079428956,"501189","mtz","annealing",1286.0,34
"4.atsp",12.661768476,"501189","mtz","annealing",1530.0,39
"5.atsp",19.195517208,"501189","mtz","annealing",1776.0,48
"6.atsp",29.655871859,"501189","mtz","annealing",1608.0,56
"7.atsp",47.305260433,"501189","mtz","annealing",1839.0,65
"1.atsp",8.201821621,"22690","mtz","random",39.0,17
"10.atsp",44.036445553,"22690","mtz","random",14422.0,48
"2.atsp",37.898015138,"22690","mtz","random",6905.0,53
"3.atsp",9.750840103,"22690","mtz","random",1286.0,34
"4.atsp",11.126574411,"22690","mtz","random",1530.0,39
"5.atsp",16.050540738,"22690","mtz","random",1776.0,48
"6.atsp",15.907826014,"22690","mtz","random",1608.0,56
"7.atsp",21.659018527,"22690","mtz","random",1839.0,65
"1.atsp",11.616653381,"814539","mtz","annealing",39.0,17
"10.atsp",49.352719324,"814539","mtz","annealing",14422.0,48
"2.atsp",43.384447337,"814539","mtz","annealing",6905.0,53
"3.atsp",13.083186905,"814539","mtz","annealing",1286.0,34
"4.atsp",12.164183042,"814539","mtz","annealing",1530.0,39
"5.atsp",20.781472321,"814539","mtz","annealing",1776.0,48
"6.atsp",20.198610132,"814539","mtz","annealing",1608.0,56
"7.atsp",34.234491173,"814539","mtz","annealing",1839.0,65
"1.atsp",7.448277107,"568898","mtz","random",39.0,17
"10.atsp",34.524138472,"568898","mtz","random",14422.0,48
"2.atsp",29.400058831,"568898","mtz","random",6905.0,53
"3.atsp",7.480691069,"568898","mtz","random",1286.0,34
"4.atsp",7.907256167,"568898","mtz","random",1530.0,39
"5.atsp",13.965822345,"568898","mtz","random",1776.0,48
"6.atsp",11.100347118,"568898","mtz","random",1608.0,56
"7.atsp",20.985604507,"568898","mtz","random",1839.0,65
"1.atsp",8.513415185,"979182","mtz","annealing",39.0,17
"10.atsp",39.085291933,"979182","mtz","annealing",14422.0,48
"2.atsp",37.779846064,"979182","mtz","annealing",6905.0,53
"3.atsp",10.409763861,"979182","mtz","annealing",1286.0,34
"4.atsp",19.861080969,"979182","mtz","annealing",1530.0,39
"5.atsp",23.220974039,"979182","mtz","annealing",1776.0,48
"6.atsp",42.060555101,"979182","mtz","annealing",1608.0,56
"7.atsp",33.418739044,"979182","mtz","annealing",1839.0,65
"1.atsp",7.650074523,"68879","mtz","random",39.0,17
"10.atsp",32.417648992,"68879","mtz","random",14422.0,48
"2.atsp",27.167852376,"68879","mtz","random",6905.0,53
"3.atsp",7.072871824,"68879","mtz","random",1286.0,34
"4.atsp",7.558589357,"68879","mtz","random",1530.0,39
"5.atsp",10.641145699,"68879","mtz","random",1776.0,48
